image_filename,well_ID,treatment,hour,mean_area,plate_position
240305134144P2_19h46m27s_H2_1W.tif,H2,DU145_w_NKcells,19,2524.1428571428573,outer_well
240305134144P2_20h46m27s_H2_1W.tif,H2,DU145_w_NKcells,20,2740.0125,outer_well
240305134144P2_21h46m30s_H2_1W.tif,H2,DU145_w_NKcells,21,2631.9166666666665,outer_well
240305134144P2_22h46m35s_H2_1W.tif,H2,DU145_w_NKcells,22,2829.813953488372,outer_well
240305134144P2_23h46m33s_H2_1W.tif,H2,DU145_w_NKcells,23,2882.9186046511627,outer_well
240305134144P2_24h46m29s_H2_1W.tif,H2,DU145_w_NKcells,24,3051.4021739130435,outer_well
240305134144P2_25h46m54s_H2_1W.tif,H2,DU145_w_NKcells,25,3370.0975609756097,outer_well
240305134144P2_26h46m32s_H2_1W.tif,H2,DU145_w_NKcells,26,3639.075,outer_well
240305134144P2_01h45m25s_H3_1W.tif,H3,DU145_w_NKcells,1,2236.890243902439,outer_well
240305134144P2_02h42m07s_H3_1W.tif,H3,DU145_w_NKcells,2,1859.805555555556,outer_well
240305134144P2_03h42m06s_H3_1W.tif,H3,DU145_w_NKcells,3,2075.9666666666667,outer_well
240305134144P2_04h42m08s_H3_1W.tif,H3,DU145_w_NKcells,4,2003.1166666666663,outer_well
240305134144P2_05h42m06s_H3_1W.tif,H3,DU145_w_NKcells,5,2000.15,outer_well
240305134144P2_06h42m08s_H3_1W.tif,H3,DU145_w_NKcells,6,1991.6666666666667,outer_well
240305134144P2_07h42m07s_H3_1W.tif,H3,DU145_w_NKcells,7,2258.1296296296296,outer_well
240305134144P2_08h42m07s_H3_1W.tif,H3,DU145_w_NKcells,8,2303.0925925925926,outer_well
240305134144P2_09h42m07s_H3_1W.tif,H3,DU145_w_NKcells,9,2512.08,outer_well
240305134144P2_10h42m06s_H3_1W.tif,H3,DU145_w_NKcells,10,2222.4821428571427,outer_well
240305134144P2_11h42m06s_H3_1W.tif,H3,DU145_w_NKcells,11,2567.2291666666665,outer_well
240305134144P2_12h42m06s_H3_1W.tif,H3,DU145_w_NKcells,12,2713.2916666666665,outer_well
240305134144P2_13h42m06s_H3_1W.tif,H3,DU145_w_NKcells,13,2781.1041666666665,outer_well
240305134144P2_14h42m07s_H3_1W.tif,H3,DU145_w_NKcells,14,3214.785714285714,outer_well
240305134144P2_15h46m27s_H3_1W.tif,H3,DU145_w_NKcells,15,3153.4772727272725,outer_well
240305134144P2_16h46m26s_H3_1W.tif,H3,DU145_w_NKcells,16,3158.586956521739,outer_well
240305134144P2_17h46m27s_H3_1W.tif,H3,DU145_w_NKcells,17,2715.678571428572,outer_well
240305134144P2_18h46m27s_H3_1W.tif,H3,DU145_w_NKcells,18,3408.891304347826,outer_well
240305134144P2_19h46m27s_H3_1W.tif,H3,DU145_w_NKcells,19,3528.2272727272725,outer_well
240305134144P2_20h46m27s_H3_1W.tif,H3,DU145_w_NKcells,20,3707.022727272728,outer_well
240305134144P2_21h46m30s_H3_1W.tif,H3,DU145_w_NKcells,21,3677.9565217391305,outer_well
240305134144P2_22h46m35s_H3_1W.tif,H3,DU145_w_NKcells,22,3740.9565217391305,outer_well
240305134144P2_23h46m33s_H3_1W.tif,H3,DU145_w_NKcells,23,3631.5208333333335,outer_well
240305134144P2_24h46m29s_H3_1W.tif,H3,DU145_w_NKcells,24,3839.875,outer_well
240305134144P2_25h46m54s_H3_1W.tif,H3,DU145_w_NKcells,25,4114.347826086957,outer_well
240305134144P2_26h46m32s_H3_1W.tif,H3,DU145_w_NKcells,26,4086.625,outer_well
240305134144P2_01h45m25s_A4_1W.tif,A4,AtezolizumabNG,1,1371.076923076923,outer_well
240305134144P2_02h42m07s_A4_1W.tif,A4,AtezolizumabNG,2,1853.5434782608693,outer_well
240305134144P2_03h42m06s_A4_1W.tif,A4,AtezolizumabNG,3,1910.815789473684,outer_well
240305134144P2_04h42m08s_A4_1W.tif,A4,AtezolizumabNG,4,2113.5,outer_well
240305134144P2_05h42m06s_A4_1W.tif,A4,AtezolizumabNG,5,2014.0,outer_well
240305134144P2_06h42m08s_A4_1W.tif,A4,AtezolizumabNG,6,1939.4117647058824,outer_well
240305134144P2_07h42m07s_A4_1W.tif,A4,AtezolizumabNG,7,2276.0882352941176,outer_well
240305134144P2_08h42m07s_A4_1W.tif,A4,AtezolizumabNG,8,2190.058823529412,outer_well
240305134144P2_09h42m07s_A4_1W.tif,A4,AtezolizumabNG,9,2098.4473684210525,outer_well
240305134144P2_10h42m06s_A4_1W.tif,A4,AtezolizumabNG,10,2140.625,outer_well
240305134144P2_11h42m06s_A4_1W.tif,A4,AtezolizumabNG,11,2182.275,outer_well
240305134144P2_12h42m06s_A4_1W.tif,A4,AtezolizumabNG,12,1934.0238095238096,outer_well
240305134144P2_13h42m06s_A4_1W.tif,A4,AtezolizumabNG,13,2032.125,outer_well
240305134144P2_14h42m07s_A4_1W.tif,A4,AtezolizumabNG,14,2245.8571428571427,outer_well
240305134144P2_15h46m27s_A4_1W.tif,A4,AtezolizumabNG,15,2284.760869565217,outer_well
240305134144P2_16h46m26s_A4_1W.tif,A4,AtezolizumabNG,16,2814.3,outer_well
240305134144P2_17h46m27s_A4_1W.tif,A4,AtezolizumabNG,17,2740.285714285714,outer_well
240305134144P2_18h46m27s_A4_1W.tif,A4,AtezolizumabNG,18,2801.3,outer_well
240305134144P2_19h46m27s_A4_1W.tif,A4,AtezolizumabNG,19,2769.095238095238,outer_well
240305134144P2_20h46m27s_A4_1W.tif,A4,AtezolizumabNG,20,2569.521739130435,outer_well
240305134144P2_21h46m30s_A4_1W.tif,A4,AtezolizumabNG,21,2647.75,outer_well
240305134144P2_22h46m35s_A4_1W.tif,A4,AtezolizumabNG,22,3103.833333333333,outer_well
240305134144P2_23h46m33s_A4_1W.tif,A4,AtezolizumabNG,23,2773.145833333333,outer_well
240305134144P2_24h46m29s_A4_1W.tif,A4,AtezolizumabNG,24,3065.659090909091,outer_well
240305134144P2_25h46m54s_A4_1W.tif,A4,AtezolizumabNG,25,2911.9565217391305,outer_well
240305134144P2_26h46m32s_A4_1W.tif,A4,AtezolizumabNG,26,3038.391304347826,outer_well
240305134144P2_01h45m25s_A5_1W.tif,A5,AtezolizumabWT,1,1514.1704545454545,outer_well
240305134144P2_02h42m07s_A5_1W.tif,A5,AtezolizumabWT,2,1644.375,outer_well
240305134144P2_03h42m06s_A5_1W.tif,A5,AtezolizumabWT,3,1959.8478260869565,outer_well
240305134144P2_04h42m08s_A5_1W.tif,A5,AtezolizumabWT,4,1856.9038461538464,outer_well
240305134144P2_05h42m06s_A5_1W.tif,A5,AtezolizumabWT,5,1867.3333333333333,outer_well
240305134144P2_06h42m08s_A5_1W.tif,A5,AtezolizumabWT,6,2199.5,outer_well
240305134144P2_07h42m07s_A5_1W.tif,A5,AtezolizumabWT,7,1979.66,outer_well
240305134144P2_08h42m07s_A5_1W.tif,A5,AtezolizumabWT,8,2135.730769230769,outer_well
240305134144P2_09h42m07s_A5_1W.tif,A5,AtezolizumabWT,9,2416.14,outer_well
240305134144P2_10h42m06s_A5_1W.tif,A5,AtezolizumabWT,10,2919.068181818182,outer_well
240305134144P2_11h42m06s_A5_1W.tif,A5,AtezolizumabWT,11,2407.25,outer_well
240305134144P2_12h42m06s_A5_1W.tif,A5,AtezolizumabWT,12,2535.9814814814813,outer_well
240305134144P2_13h42m06s_A5_1W.tif,A5,AtezolizumabWT,13,2609.6346153846152,outer_well
240305134144P2_14h42m07s_A5_1W.tif,A5,AtezolizumabWT,14,2207.366666666667,outer_well
240305134144P2_15h46m27s_A5_1W.tif,A5,AtezolizumabWT,15,2452.625,outer_well
240305134144P2_16h46m26s_A5_1W.tif,A5,AtezolizumabWT,16,2906.403846153846,outer_well
240305134144P2_17h46m27s_A5_1W.tif,A5,AtezolizumabWT,17,2730.8928571428573,outer_well
240305134144P2_18h46m27s_A5_1W.tif,A5,AtezolizumabWT,18,2573.516666666667,outer_well
240305134144P2_19h46m27s_A5_1W.tif,A5,AtezolizumabWT,19,2346.530303030303,outer_well
240305134144P2_20h46m27s_A5_1W.tif,A5,AtezolizumabWT,20,2726.8870967741937,outer_well
240305134144P2_21h46m30s_A5_1W.tif,A5,AtezolizumabWT,21,3172.910714285714,outer_well
240305134144P2_22h46m35s_A5_1W.tif,A5,AtezolizumabWT,22,3084.2321428571427,outer_well
240305134144P2_23h46m33s_A5_1W.tif,A5,AtezolizumabWT,23,2942.234375,outer_well
240305134144P2_24h46m29s_A5_1W.tif,A5,AtezolizumabWT,24,3234.0,outer_well
240305134144P2_25h46m54s_A5_1W.tif,A5,AtezolizumabWT,25,2940.818181818182,outer_well
240305134144P2_26h46m32s_A5_1W.tif,A5,AtezolizumabWT,26,3638.677419354839,outer_well
240305134144P2_01h45m25s_C6_1W.tif,C6,AtezolizumabFut8,1,3226.153846153846,3rd_row
240305134144P2_02h42m07s_C6_1W.tif,C6,AtezolizumabFut8,2,3176.333333333333,3rd_row
240305134144P2_03h42m06s_C6_1W.tif,C6,AtezolizumabFut8,3,3775.403846153846,3rd_row
240305134144P2_04h42m08s_C6_1W.tif,C6,AtezolizumabFut8,4,3946.6145833333335,3rd_row
240305134144P2_05h42m06s_C6_1W.tif,C6,AtezolizumabFut8,5,3522.4454545454546,3rd_row
240305134144P2_06h42m08s_C6_1W.tif,C6,AtezolizumabFut8,6,3860.817307692308,3rd_row
240305134144P2_07h42m07s_C6_1W.tif,C6,AtezolizumabFut8,7,4023.26,3rd_row
240305134144P2_08h42m07s_C6_1W.tif,C6,AtezolizumabFut8,8,3876.2363636363634,3rd_row
240305134144P2_09h42m07s_C6_1W.tif,C6,AtezolizumabFut8,9,3552.233333333333,3rd_row
240305134144P2_10h42m06s_C6_1W.tif,C6,AtezolizumabFut8,10,3855.5,3rd_row
240305134144P2_11h42m06s_C6_1W.tif,C6,AtezolizumabFut8,11,4041.398148148148,3rd_row
240305134144P2_12h42m06s_C6_1W.tif,C6,AtezolizumabFut8,12,3925.745762711864,3rd_row
240305134144P2_13h42m06s_C6_1W.tif,C6,AtezolizumabFut8,13,3915.5508474576272,3rd_row
